Date,Time,Location,Type,Status
2025-12-23,20:07:58,Room 201,Normal,Pending
2025-12-23,20:07:59,Room 201,Normal,Pending
2025-12-23,20:08:00,Room 201,Normal,Pending
2025-12-23,20:08:01,Room 201,Normal,Pending
2025-12-28,22:25:46,Room 201,Smoke Triggered,Pending
2025-12-28,22:25:52,Room 201,Smoke Triggered,Pending
2025-12-28,22:25:57,Room 201,Smoke Triggered,Pending
2025-12-28,22:26:03,Room 201,Smoke Triggered,Pending
2025-12-28,22:26:08,Room 201,Smoke Triggered,Pending
2025-12-28,22:26:13,Room 201,Smoke Triggered,Pending
2025-12-28,22:26:18,Room 201,Smoke Triggered,Pending
2025-12-28,22:26:23,Room 201,Smoke Triggered,Pending
2025-12-28,22:26:28,Room 201,Smoke Triggered,Pending
2025-12-28,22:26:33,Room 201,Smoke Triggered,Pending
2025-12-28,22:26:38,Room 201,Smoke Triggered,Pending
2025-12-28,22:26:44,Room 201,Smoke Triggered,Pending
2025-12-28,22:26:49,Room 201,Smoke Triggered,Pending
2025-12-28,22:26:54,Room 201,Smoke Triggered,Pending
2025-12-28,22:26:59,Room 201,Smoke Triggered,Pending
2025-12-28,22:27:04,Room 201,Smoke Triggered,Pending
2025-12-28,22:27:09,Room 201,Smoke Triggered,Pending
2025-12-28,22:33:38,Room 201,Smoke Triggered,Pending
2025-12-28,22:34:08,Room 201,Smoke Triggered,Pending
2025-12-28,22:45:56,Room 201,Smoke Triggered,Pending
2025-12-28,22:46:27,Room 201,Smoke Triggered,Pending
2025-12-28,22:46:57,Room 201,Smoke Triggered,Pending
2025-12-28,22:47:28,Room 201,Smoke Triggered,Pending
2026-05-31,21:11:53,Room 201,Smoke Triggered,Pending
2026-05-31,21:12:00,Room 201,Smoke Triggered,Pending
2026-05-31,21:12:05,Room 201,Smoke Triggered,Pending
2026-05-31,21:12:11,Room 201,Smoke Triggered,Pending
2026-05-31,21:12:16,Room 201,Smoke Triggered,Pending
2026-05-31,21:12:26,Room 201,Smoke Triggered,Pending
2026-05-31,21:12:32,Room 201,Smoke Triggered,Pending
2026-05-31,21:12:37,Room 201,Smoke Triggered,Pending
2026-05-31,21:12:43,Room 201,Smoke Triggered,Pending
2026-05-31,21:12:49,Room 201,Smoke Triggered,Pending
2026-05-31,21:12:57,Room 201,Smoke Triggered,Pending
2026-05-31,21:13:03,Room 201,Smoke Triggered,Pending
2026-05-31,21:13:10,Room 201,Smoke Triggered,Pending
2026-05-31,21:13:16,Room 201,Smoke Triggered,Pending
2026-05-31,21:13:22,Room 201,Smoke Triggered,Pending
2026-05-31,21:13:33,Room 201,Smoke Triggered,Pending
2026-05-31,21:13:39,Room 201,Smoke Triggered,Pending
2026-05-31,21:13:48,Room 201,Smoke Triggered,Pending
2026-05-31,21:13:53,Room 201,Smoke Triggered,Pending
2026-05-31,21:14:04,Room 201,Smoke Triggered,Pending
2026-05-31,21:14:10,Room 201,Smoke Triggered,Pending
2026-05-31,21:14:21,Room 201,Smoke Triggered,Pending
2026-05-31,21:14:26,Room 201,Smoke Triggered,Pending
2026-05-31,21:14:36,Room 201,Smoke Triggered,Pending
2026-05-31,21:14:45,Room 201,Smoke Triggered,Pending
2026-05-31,21:14:50,Room 201,Smoke Triggered,Pending
2026-05-31,21:14:56,Room 201,Smoke Triggered,Pending
2026-05-31,21:15:02,Room 201,Smoke Triggered,Pending
2026-05-31,21:15:07,Room 201,Smoke Triggered,Pending
2026-05-31,21:15:13,Room 201,Smoke Triggered,Pending
2026-05-31,21:15:21,Room 201,Smoke Triggered,Pending
